0, latitude, -63.2978, longitude, -3.21663
0, latitude, -62.5416, longitude, -3.21684
0, latitude, -61.4907, longitude, -3.21665
0, latitude, -60.5895, longitude, -3.21672
0, latitude, -59.6766, longitude, -3.21692
0, latitude, -58.9004, longitude, -3.2164
0, latitude, -57.9742, longitude, -3.21675
0, latitude, -57.0565, longitude, -3.21672
0, latitude, -56.2734, longitude, -3.21688
0.221354, latitude, -55.3461, longitude, -3.21672
0.990885, latitude, -54.417, longitude, -3.21663
1.86458, latitude, -53.7862, longitude, -3.21672
2.24479, latitude, -52.7105, longitude, -3.21645
2.22656, latitude, -51.9287, longitude, -3.21635
2.15625, latitude, -50.9822, longitude, -3.21678
2.17708, latitude, -50.0447, longitude, -3.21671
2.21484, latitude, -49.2721, longitude, -3.21674
1.9401, latitude, -48.3279, longitude, -3.21675
0.838542, latitude, -47.5505, longitude, -3.21656
0.291667, latitude, -46.6156, longitude, -3.21683
0.140625, latitude, -45.6813, longitude, -3.21663
0.160156, latitude, -44.8977, longitude, -3.21696
0.299479, latitude, -43.964, longitude, -3.21692
0.40625, latitude, -43.0377, longitude, -3.2166
0.679688, latitude, -42.4149, longitude, -3.21653
1.41406, latitude, -41.34, longitude, -3.21664
2.3724, latitude, -40.4126, longitude, -3.21653
3.29427, latitude, -39.7876, longitude, -3.21663
4.84635, latitude, -38.686, longitude, -3.21688
5.73438, latitude, -37.7453, longitude, -3.21672
6.49609, latitude, -36.9741, longitude, -3.21673
7.14062, latitude, -36.0462, longitude, -3.21668
6.9401, latitude, -35.1132, longitude, -3.21662
5.74089, latitude, -34.3355, longitude, -3.21683
4.7526, latitude, -33.4007, longitude, -3.2168
3.45573, latitude, -32.4801, longitude, -3.21657
2.75391, latitude, -31.6963, longitude, -3.21673
3.33854, latitude, -30.7578, longitude, -3.21678
5.61589, latitude, -29.9766, longitude, -3.21655
9.29036, latitude, -29.0492, longitude, -3.21655
11.599, latitude, -28.1126, longitude, -3.21685
11.957, latitude, -27.3313, longitude, -3.2166
